"2015-06-19T10:00:43.720541-05:00 radius6.big.campus.edu radius.auth1[16445]:  [wireless] Auth FAIL for jerk (Outer EAP Identity jerk) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 33 (0s wait, 0s elapsed, 0s total) because: PEAP Authentication Failure"
"2015-06-19T09:57:44.183849-05:00 radius6.big.campus.edu radius.auth2[16448]:  [wireless] Auth OK for jerk (Outer EAP Identity jerk) on 6C-40-08-92-D5-D0 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 167 (0s wait, 0s elapsed, 0s total)"
"2015-06-19T09:57:31.343309-05:00 radius6.big.campus.edu radius.auth2[16448]:  [wireless] Auth FAIL for jerk (Outer EAP Identity jerk) on 6C-40-08-92-D5-D0 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 67 (0s wait, 0s elapsed, 0s total) because: EAP TTLS Inner authentication failed"
"2015-06-19T09:56:03.292260-05:00 radius6.big.campus.edu radius.auth1[16445]:  [wireless] Auth FAIL for jerk (Outer EAP Identity jerk) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 167 (0s wait, 0s elapsed, 0s total) because: PEAP Authentication Failure"
"2015-06-19T09:55:51.164537-05:00 radius6.big.campus.edu radius.auth1[16445]:  [wireless] Auth FAIL for jerk (Outer EAP Identity jerk) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 70 (0s wait, 0s elapsed, 0s total) because: PEAP Authentication Failure"
"2015-06-19T09:55:38.807493-05:00 radius6.big.campus.edu radius.auth1[16445]:  [wireless] Auth FAIL for jerk (Outer EAP Identity jerk) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 177 (0s wait, 0s elapsed, 0s total) because: PEAP Authentication Failure"
"2015-06-19T09:25:42.004315-05:00 radius6.big.campus.edu radius.auth1[16445]:  [wireless] Auth OK for jerk (Outer EAP Identity jerk) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 64 (1s wait, 0s elapsed, 0s total)"
"2015-06-19T09:25:23.762681-05:00 radius6.big.campus.edu radius.auth1[16445]:  [wireless] Auth OK for jerk (Outer EAP Identity jerk) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 83 (0s wait, 0s elapsed, 0s total)"
"2015-06-19T09:19:55.700254-05:00 radius6.big.campus.edu radius.auth2[16448]:  [wireless] Auth OK for jerk (Outer EAP Identity jerk) on 6C-40-08-92-D5-D0 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 232 (0s wait, 0s elapsed, 0s total)"
"2015-06-19T09:13:01.390452-05:00 radius6.big.campus.edu radius.auth2[16448]:  [wireless] Auth OK for jerk (Outer EAP Identity jerk) on 6C-40-08-92-D5-D0 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 220 (0s wait, 0s elapsed, 0s total)"
"2015-06-19T09:03:08.091647-05:00 radius6.big.campus.edu radius.auth2[16448]:  [wireless] Auth OK for jerk (Outer EAP Identity jerk) on 6C-40-08-92-D5-D0 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 192 (0s wait, 0s elapsed, 0s total)"
"2015-06-19T08:40:41.345460-05:00 radius6.big.campus.edu radius.auth1[16445]:  [wireless] Auth OK for jerk (Outer EAP Identity jerk) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 44 (0s wait, 0s elapsed, 0s total)"
"2015-06-18T16:19:02.250307-05:00 radius6.big.campus.edu radius.auth1[16445]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 164 (0s wait, 0s elapsed, 0s total)"
"2015-06-18T16:01:09.123238-05:00 radius6.big.campus.edu radius.auth1[16445]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 57 (0s wait, 0s elapsed, 0s total)"
"2015-06-18T15:48:20.435969-05:00 radius6.big.campus.edu radius.auth1[16445]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 242 (0s wait, 0s elapsed, 0s total)"
"2015-06-18T15:07:49.389070-05:00 radius6.big.campus.edu radius.auth1[16445]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 172 (0s wait, 0s elapsed, 0s total)"
"2015-06-18T14:30:03.064552-05:00 radius6.big.campus.edu radius.auth1[16445]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 8C-3A-E3-97-67-37 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 214 (0s wait, 0s elapsed, 0s total)"
"2015-06-18T13:40:59.117249-05:00 radius6.big.campus.edu radius.auth2[16448]:  [wireless] Auth OK for jschmo (Outer EAP Identity jschmo) on 6C-40-08-92-D5-D0 via 172.21.128.208:00-90-0B-28-85-CF:332i-CampusNet id 222 (0s wait, 0s elapsed, 0s total)"
