2015-06-11T11:49:06-05:00 dhcp-a2.big.campus.edu dhcpd[18056]:  DHCPACK on 172.17.144.239 to 14:10:9f:dd:c8:bd (laptopp10r051012) via bond0 relay 172.17.0.2 lease-duration 14400 (RENEW)
2015-06-11T11:49:06-05:00 dhcp-a2.big.campus.edu dhcpd[18056]:  DHCPREQUEST for 172.17.144.239 from 14:10:9f:dd:c8:bd (laptopp10r051012) via 172.17.0.2  (RENEW)
2015-06-11T11:42:57-05:00 dhcp-a1.big.campus.edu dhcpd[21471]:  DHCPACK on 172.17.144.239 to 14:10:9f:dd:c8:bd (laptopp10r051012) via bond0 relay 172.17.0.2 lease-duration 14400 (RENEW)
2015-06-11T11:42:57-05:00 dhcp-a1.big.campus.edu dhcpd[21471]:  DHCPREQUEST for 172.17.144.239 from 14:10:9f:dd:c8:bd (laptopp10r051012) via 172.17.0.2  (RENEW)
2015-06-11T11:42:57-05:00 dhcp-a1.big.campus.edu dhcpd[21471]:  DHCPACK on 172.17.144.239 to 14:10:9f:dd:c8:bd (laptopp10r051012) via bond0 relay 172.17.0.3 lease-duration 14400 (RENEW)
2015-06-11T11:42:57-05:00 dhcp-a1.big.campus.edu dhcpd[21471]:  DHCPREQUEST for 172.17.144.239 from 14:10:9f:dd:c8:bd (laptopp10r051012) via 172.17.0.3  (RENEW)
2015-06-11T11:42:57-05:00 dhcp-a2.big.campus.edu dhcpd[18056]:  DHCPACK on 172.17.144.239 to 14:10:9f:dd:c8:bd (laptopp10r051012) via bond0 relay 172.17.0.2 lease-duration 14400 (RENEW)
2015-06-11T11:42:57-05:00 dhcp-a2.big.campus.edu dhcpd[18056]:  DHCPREQUEST for 172.17.144.239 from 14:10:9f:dd:c8:bd (laptopp10r051012) via 172.17.0.2  (RENEW)
2015-06-11T11:42:57-05:00 dhcp-a2.big.campus.edu dhcpd[18056]:  DHCPACK on 172.17.144.239 to 14:10:9f:dd:c8:bd (laptopp10r051012) via bond0 relay 172.17.0.3 lease-duration 14400 (RENEW)
2015-06-11T11:42:57-05:00 dhcp-a2.big.campus.edu dhcpd[18056]:  DHCPREQUEST for 172.17.144.239 from 14:10:9f:dd:c8:bd (laptopp10r051012) via 172.17.0.3  (RENEW)
2015-06-11T10:54:39-05:00 dhcp-a1.big.campus.edu dhcpd[21471]:  DHCPACK on 172.17.144.239 to 14:10:9f:dd:c8:bd (laptopp10r051012) via bond0 relay 172.17.0.2 lease-duration 14400 (RENEW)
2015-06-11T10:54:39-05:00 dhcp-a1.big.campus.edu dhcpd[21471]:  DHCPREQUEST for 172.17.144.239 from 14:10:9f:dd:c8:bd (laptopp10r051012) via 172.17.0.2  (RENEW)
2015-06-11T10:54:39-05:00 dhcp-a1.big.campus.edu dhcpd[21471]:  DHCPACK on 172.17.144.239 to 14:10:9f:dd:c8:bd (laptopp10r051012) via bond0 relay 172.17.0.3 lease-duration 14400 (RENEW)
2015-06-11T10:54:39-05:00 dhcp-a1.big.campus.edu dhcpd[21471]:  DHCPREQUEST for 172.17.144.239 from 14:10:9f:dd:c8:bd (laptopp10r051012) via 172.17.0.3  (RENEW)
2015-06-11T10:54:39-05:00 dhcp-a2.big.campus.edu dhcpd[18056]:  DHCPACK on 172.17.144.239 to 14:10:9f:dd:c8:bd (laptopp10r051012) via bond0 relay 172.17.0.2 lease-duration 14400 (RENEW)
2015-06-11T10:54:39-05:00 dhcp-a2.big.campus.edu dhcpd[18056]:  DHCPREQUEST for 172.17.144.239 from 14:10:9f:dd:c8:bd (laptopp10r051012) via 172.17.0.2  (RENEW)
2015-06-11T10:54:39-05:00 dhcp-a2.big.campus.edu dhcpd[18056]:  DHCPACK on 172.17.144.239 to 14:10:9f:dd:c8:bd (laptopp10r051012) via bond0 relay 172.17.0.3 lease-duration 14400 (RENEW)
2015-06-11T10:54:39-05:00 dhcp-a2.big.campus.edu dhcpd[18056]:  DHCPREQUEST for 172.17.144.239 from 14:10:9f:dd:c8:bd (laptopp10r051012) via 172.17.0.3  (RENEW)
2015-06-11T09:57:20-05:00 dhcp-a2.big.campus.edu dhcpd[21506]:  DHCPACK on 172.17.144.239 to 14:10:9f:dd:c8:bd (laptopp10r051012) via bond0 relay 172.17.0.3 lease-duration 14400 (RENEW)
2015-06-11T09:57:20-05:00 dhcp-a2.big.campus.edu dhcpd[21506]:  DHCPREQUEST for 172.17.144.239 from 14:10:9f:dd:c8:bd (laptopp10r051012) via 172.17.0.3  (RENEW)
2015-06-11T09:57:20-05:00 dhcp-a2.big.campus.edu dhcpd[21506]:  DHCPACK on 172.17.144.239 to 14:10:9f:dd:c8:bd (laptopp10r051012) via bond0 relay 172.17.0.2 lease-duration 14400 (RENEW)
2015-06-11T09:57:20-05:00 dhcp-a2.big.campus.edu dhcpd[21506]:  DHCPREQUEST for 172.17.144.239 from 14:10:9f:dd:c8:bd (laptopp10r051012) via 172.17.0.2  (RENEW)
2015-06-11T09:57:20-05:00 dhcp-a1.big.campus.edu dhcpd[24834]:  DHCPACK on 172.17.144.239 to 14:10:9f:dd:c8:bd (laptopp10r051012) via bond0 relay 172.17.0.3 lease-duration 14400 (RENEW)
2015-06-11T09:57:20-05:00 dhcp-a1.big.campus.edu dhcpd[24834]:  DHCPREQUEST for 172.17.144.239 from 14:10:9f:dd:c8:bd (laptopp10r051012) via 172.17.0.3  (RENEW)
2015-06-11T09:57:20-05:00 dhcp-a1.big.campus.edu dhcpd[24834]:  DHCPACK on 172.17.144.239 to 14:10:9f:dd:c8:bd (laptopp10r051012) via bond0 relay 172.17.0.2 lease-duration 14400 (RENEW)
2015-06-11T09:57:20-05:00 dhcp-a1.big.campus.edu dhcpd[24834]:  DHCPREQUEST for 172.17.144.239 from 14:10:9f:dd:c8:bd (laptopp10r051012) via 172.17.0.2  (RENEW)
2015-06-11T08:15:01-05:00 dhcp-a1.big.campus.edu dhcpd[12569]:  DHCPACK on 172.17.144.239 to 14:10:9f:dd:c8:bd (laptopp10r051012) via bond0 relay 172.17.0.2 lease-duration 14400 (RENEW)
2015-06-11T08:15:01-05:00 dhcp-a1.big.campus.edu dhcpd[12569]:  DHCPREQUEST for 172.17.144.239 from 14:10:9f:dd:c8:bd (laptopp10r051012) via 172.17.0.2  (RENEW)
2015-06-11T08:15:01-05:00 dhcp-a1.big.campus.edu dhcpd[12569]:  DHCPACK on 172.17.144.239 to 14:10:9f:dd:c8:bd (laptopp10r051012) via bond0 relay 172.17.0.3 lease-duration 14400 (RENEW)
2015-06-11T08:15:01-05:00 dhcp-a1.big.campus.edu dhcpd[12569]:  DHCPREQUEST for 172.17.144.239 from 14:10:9f:dd:c8:bd (laptopp10r051012) via 172.17.0.3  (RENEW)
2015-06-11T08:15:01-05:00 dhcp-a2.big.campus.edu dhcpd[9293]:  DHCPACK on 172.17.144.239 to 14:10:9f:dd:c8:bd (laptopp10r051012) via bond0 relay 172.17.0.2 lease-duration 14400 (RENEW)
2015-06-11T08:15:01-05:00 dhcp-a2.big.campus.edu dhcpd[9293]:  DHCPREQUEST for 172.17.144.239 from 14:10:9f:dd:c8:bd (laptopp10r051012) via 172.17.0.2  (RENEW)
2015-06-11T08:15:01-05:00 dhcp-a2.big.campus.edu dhcpd[9293]:  DHCPACK on 172.17.144.239 to 14:10:9f:dd:c8:bd (laptopp10r051012) via bond0 relay 172.17.0.3 lease-duration 14400 (RENEW)
2015-06-11T08:15:01-05:00 dhcp-a2.big.campus.edu dhcpd[9293]:  DHCPREQUEST for 172.17.144.239 from 14:10:9f:dd:c8:bd (laptopp10r051012) via 172.17.0.3  (RENEW)
2015-06-11T07:16:21-05:00 dhcp-a1.big.campus.edu dhcpd[12569]:  DHCPACK on 172.17.144.239 to 14:10:9f:dd:c8:bd (laptopp10r051012) via bond0 relay 172.17.0.3 lease-duration 14400 (RENEW)
2015-06-11T07:16:21-05:00 dhcp-a1.big.campus.edu dhcpd[12569]:  DHCPREQUEST for 172.17.144.239 from 14:10:9f:dd:c8:bd (laptopp10r051012) via 172.17.0.3  (RENEW)
2015-06-11T07:16:21-05:00 dhcp-a1.big.campus.edu dhcpd[12569]:  DHCPACK on 172.17.144.239 to 14:10:9f:dd:c8:bd (laptopp10r051012) via bond0 relay 172.17.0.2 lease-duration 14400 (RENEW)
2015-06-11T07:16:21-05:00 dhcp-a1.big.campus.edu dhcpd[12569]:  DHCPREQUEST for 172.17.144.239 from 14:10:9f:dd:c8:bd (laptopp10r051012) via 172.17.0.2  (RENEW)
2015-06-11T07:16:21-05:00 dhcp-a2.big.campus.edu dhcpd[9293]:  DHCPACK on 172.17.144.239 to 14:10:9f:dd:c8:bd (laptopp10r051012) via bond0 relay 172.17.0.3 lease-duration 14400 (RENEW)
2015-06-11T07:16:21-05:00 dhcp-a2.big.campus.edu dhcpd[9293]:  DHCPREQUEST for 172.17.144.239 from 14:10:9f:dd:c8:bd (laptopp10r051012) via 172.17.0.3  (RENEW)
2015-06-11T07:16:21-05:00 dhcp-a2.big.campus.edu dhcpd[9293]:  DHCPACK on 172.17.144.239 to 14:10:9f:dd:c8:bd (laptopp10r051012) via bond0 relay 172.17.0.2 lease-duration 14400 (RENEW)
2015-06-11T07:16:21-05:00 dhcp-a2.big.campus.edu dhcpd[9293]:  DHCPREQUEST for 172.17.144.239 from 14:10:9f:dd:c8:bd (laptopp10r051012) via 172.17.0.2  (RENEW)
2015-06-11T07:13:14-05:00 dhcp-a1.big.campus.edu dhcpd[12569]:  DHCPACK on 172.17.144.239 to 14:10:9f:dd:c8:bd (laptopp10r051012) via bond0 relay 172.17.0.3 lease-duration 14400 (RENEW)
2015-06-11T07:13:14-05:00 dhcp-a1.big.campus.edu dhcpd[12569]:  DHCPREQUEST for 172.17.144.239 from 14:10:9f:dd:c8:bd (laptopp10r051012) via 172.17.0.3  (RENEW)
2015-06-11T07:13:14-05:00 dhcp-a1.big.campus.edu dhcpd[12569]:  DHCPACK on 172.17.144.239 to 14:10:9f:dd:c8:bd (laptopp10r051012) via bond0 relay 172.17.0.2 lease-duration 14400 (RENEW)
2015-06-11T07:13:14-05:00 dhcp-a1.big.campus.edu dhcpd[12569]:  DHCPREQUEST for 172.17.144.239 from 14:10:9f:dd:c8:bd via 172.17.0.2  (RENEW)
2015-06-11T07:13:14-05:00 dhcp-a2.big.campus.edu dhcpd[9293]:  DHCPACK on 172.17.144.239 to 14:10:9f:dd:c8:bd (laptopp10r051012) via bond0 relay 172.17.0.3 lease-duration 14400 (RENEW)
2015-06-11T07:13:14-05:00 dhcp-a2.big.campus.edu dhcpd[9293]:  DHCPREQUEST for 172.17.144.239 from 14:10:9f:dd:c8:bd (laptopp10r051012) via 172.17.0.3  (RENEW)
2015-06-11T07:13:14-05:00 dhcp-a2.big.campus.edu dhcpd[9293]:  DHCPACK on 172.17.144.239 to 14:10:9f:dd:c8:bd (laptopp10r051012) via bond0 relay 172.17.0.2 lease-duration 14400 (RENEW)
2015-06-11T07:13:14-05:00 dhcp-a2.big.campus.edu dhcpd[9293]:  DHCPREQUEST for 172.17.144.239 from 14:10:9f:dd:c8:bd (laptopp10r051012) via 172.17.0.2  (RENEW)
2015-06-11T06:54:51-05:00 dhcp-a2.big.campus.edu dhcpd[9293]:  DHCPACK on 172.17.144.239 to 14:10:9f:dd:c8:bd (laptopp10r051012) via bond0 relay 172.17.0.3 lease-duration 3600 (RENEW)
2015-06-11T06:54:51-05:00 dhcp-a2.big.campus.edu dhcpd[9293]:  DHCPREQUEST for 172.17.144.239 (192.17.2.20) from 14:10:9f:dd:c8:bd (laptopp10r051012) via 172.17.0.3  (RENEW)
2015-06-11T06:54:51-05:00 dhcp-a2.big.campus.edu dhcpd[9293]:  DHCPACK on 172.17.144.239 to 14:10:9f:dd:c8:bd (laptopp10r051012) via bond0 relay 172.17.0.2 lease-duration 3600
2015-06-11T06:54:51-05:00 dhcp-a2.big.campus.edu dhcpd[9293]:  DHCPREQUEST for 172.17.144.239 (192.17.2.20) from 14:10:9f:dd:c8:bd (laptopp10r051012) via 172.17.0.2 
2015-06-11T06:54:49-05:00 dhcp-a2.big.campus.edu dhcpd[9293]:  DHCPOFFER on 172.17.144.239 to 14:10:9f:dd:c8:bd (laptopp10r051012) via bond0 relay 172.17.0.2 lease-duration 119
2015-06-11T06:54:48-05:00 dhcp-a1.big.campus.edu dhcpd[12569]:  DHCPNAK on 10.0.1.6 to 14:10:9f:dd:c8:bd via 172.17.0.3
2015-06-11T06:54:48-05:00 dhcp-a1.big.campus.edu dhcpd[12569]:  DHCPREQUEST for 10.0.1.6 from 14:10:9f:dd:c8:bd via 172.17.0.3 : wrong network.
2015-06-11T06:54:48-05:00 dhcp-a1.big.campus.edu dhcpd[12569]:  DHCPNAK on 10.0.1.6 to 14:10:9f:dd:c8:bd via 172.17.0.2
2015-06-11T06:54:48-05:00 dhcp-a1.big.campus.edu dhcpd[12569]:  DHCPREQUEST for 10.0.1.6 from 14:10:9f:dd:c8:bd via 172.17.0.2 : wrong network.
2015-06-11T06:54:48-05:00 dhcp-a2.big.campus.edu dhcpd[9293]:  DHCPDISCOVER from 14:10:9f:dd:c8:bd via 172.17.0.2 
2015-06-11T06:54:48-05:00 dhcp-a2.big.campus.edu dhcpd[9293]:  DHCPNAK on 10.0.1.6 to 14:10:9f:dd:c8:bd via 172.17.0.3
2015-06-11T06:54:48-05:00 dhcp-a2.big.campus.edu dhcpd[9293]:  DHCPREQUEST for 10.0.1.6 from 14:10:9f:dd:c8:bd via 172.17.0.3 : wrong network.
2015-06-11T06:54:48-05:00 dhcp-a2.big.campus.edu dhcpd[9293]:  DHCPNAK on 10.0.1.6 to 14:10:9f:dd:c8:bd via 172.17.0.2
2015-06-11T06:54:48-05:00 dhcp-a2.big.campus.edu dhcpd[9293]:  DHCPREQUEST for 10.0.1.6 from 14:10:9f:dd:c8:bd via 172.17.0.2 : wrong network.
2015-06-05T13:52:33-05:00 dhcp-a1.big.campus.edu dhcpd[1480]:  DHCPEXPIRE on 172.17.144.239 to 14:10:9f:dd:c8:bd
2015-06-05T13:52:33-05:00 dhcp-a2.big.campus.edu dhcpd[2503]:  DHCPEXPIRE on 172.17.144.239 to 14:10:9f:dd:c8:bd
2015-06-05T12:52:33-05:00 dhcp-a2.big.campus.edu dhcpd[2503]:  DHCPACK on 172.17.144.239 to 14:10:9f:dd:c8:bd (laptopp10r051012) via bond0 relay 172.17.0.3 lease-duration 3600 (RENEW)
2015-06-05T12:52:33-05:00 dhcp-a2.big.campus.edu dhcpd[2503]:  DHCPREQUEST for 172.17.144.239 (192.17.2.20) from 14:10:9f:dd:c8:bd (laptopp10r051012) via 172.17.0.3  (RENEW)
2015-06-05T12:52:33-05:00 dhcp-a2.big.campus.edu dhcpd[2503]:  DHCPACK on 172.17.144.239 to 14:10:9f:dd:c8:bd (laptopp10r051012) via bond0 relay 172.17.0.2 lease-duration 3600
